,stroke_number,power,avg_power,stroke_rate,time,stroke_length,distance,distance_per_stroke,estimated_500m_time,energy_per_stroke,energy_sum,pulse,work_per_pulse,peak_force,peak_force_pos,rel_peak_force_pos,drive_time,recover_time,avg_calculated_power,curve_area,curve_std,time_to_peak,datestamp,workout_type,curve_area_zscore,curve_std_zscore,time_to_peak_zscore
stroke_number,1.0,-0.2943597401816114,-0.23639495575734967,-0.13100796817147264,0.9862611138809041,0.01790099625586653,0.9962611912086606,0.022476366150095038,0.2240339650725224,-0.3781129094337122,0.9934695094192593,0.3167796980848411,-0.5229363295211901,-0.31668286180525695,7.480446667866255e-05,-0.004500610281182314,0.2740346425162731,0.12613266568896686,-0.41680413982166375,-0.3804539122229537,-0.34677609357307737,0.14860518537070944,0.30637869553435443,,-0.38045391222295444,-0.3467760935730791,0.1486051853707061
power,-0.2943597401816114,1.0,0.6338126232776772,0.8128610189353489,-0.35356685344132843,-0.46583852185110936,-0.32634808373373936,-0.5029272240944627,-0.8182911800949434,0.523903963999287,-0.29288557406556537,0.33936504313947047,0.6791016548730124,0.5825545399604486,-0.18600784073393511,-0.07289935169088975,-0.9288057373141965,-0.7429438121357512,0.79878221498466,0.5390257258349443,0.5271704556024596,-0.5797953954115671,-0.124821208698005,,0.5390257258349478,0.5271704556024572,-0.5797953954115658
avg_power,-0.23639495575734967,0.6338126232776772,1.0,0.47365974657919147,-0.3520333713351206,-0.20664499227979902,-0.26596185086475654,-0.2929847528091877,-0.5201544530422223,0.3819993150969496,-0.22248381808698042,0.33302552700802934,0.38581812215471806,0.38745141736289035,-0.07020900047553814,-0.020354264447398237,-0.5788792110016314,-0.4689301375172965,0.8514838081254769,0.3894522434587687,0.3609993012696658,-0.3386832415910712,-0.2606319320612842,,0.3894522434587703,0.3609993012696698,-0.3386832415910692
stroke_rate,-0.13100796817147264,0.8128610189353489,0.47365974657919147,1.0,-0.21174839448065733,-0.6626897756403597,-0.18533986595960902,-0.8988552580418608,-0.5796498415895066,0.08418576535818982,-0.16327991826858854,0.33018061017945116,0.38687371040091983,0.24689231772223577,-0.2906435406380634,-0.13176634868848308,-0.8655291151912714,-0.9698704450180511,0.5600754961555554,0.10255241998432627,0.1779477157345283,-0.5919059961698949,0.006896688085484736,,0.10255241998432915,0.17794771573452683,-0.5919059961698969
time,0.9862611138809041,-0.35356685344132843,-0.3520333713351206,-0.21174839448065733,1.0,0.07519542892603016,0.9931058834132411,0.10322151377568199,0.27051960857101404,-0.3673696332059787,0.9841072681391445,0.26575660704422355,-0.529816641011838,-0.3303200772424056,0.02516231459249096,0.007184357383462523,0.3432691132544392,0.21236552289795993,-0.49191058165281243,-0.37121664819034894,-0.3540181524983803,0.19643929507582494,0.3473715583884144,,-0.37121664819035044,-0.3540181524983841,0.19643929507582134
stroke_length,0.01790099625586653,-0.46583852185110936,-0.20664499227979902,-0.6626897756403597,0.07519542892603016,1.0,0.05655083742284099,0.6055511775344626,0.3523308352811779,0.18966643180502654,0.04170346329631638,-0.24963300541921174,-0.1604950011787611,-0.1929323380713316,0.2925292140096468,0.04769765899465733,0.7086754280545491,0.5865465844429565,-0.24881170393390878,0.16345383312369932,-0.14474478213261924,0.4323990999212979,-0.037128456965423634,,0.16345383312369643,-0.1447447821326185,0.43239909992129993
distance,0.9962611912086606,-0.32634808373373936,-0.26596185086475654,-0.18533986595960902,0.9931058834132411,0.05655083742284099,1.0,0.08187934432549028,0.24789792426590213,-0.35631959547540204,0.9965299074418157,0.30156880432058497,-0.5247181467259252,-0.307299975490837,0.02367858953883209,0.010272160719595998,0.3128930784341948,0.1846052176012031,-0.44368993606178925,-0.35959733946333977,-0.3337674597436335,0.18218772242972273,0.29470763818631834,,-0.35959733946334105,-0.333767459743636,0.18218772242971912
distance_per_stroke,0.022476366150095038,-0.5029272240944627,-0.2929847528091877,-0.8988552580418608,0.10322151377568199,0.6055511775344626,0.08187934432549028,1.0,0.27655359756191683,0.22122059961625506,0.07258035555141083,-0.24626814761290916,-0.10714245574490726,0.04839652631011824,0.30939698256345477,0.16663757886432604,0.6222306440089586,0.9383711544585509,-0.3060204766860539,0.20586379327374757,0.10938214424834321,0.48386071425648547,-0.10507125239584676,,0.20586379327374446,0.10938214424834347,0.4838607142564899
estimated_500m_time,0.2240339650725224,-0.8182911800949434,-0.5201544530422223,-0.5796498415895066,0.27051960857101404,0.3523308352811779,0.24789792426590213,0.27655359756191683,1.0,-0.40249812976086774,0.21899674645678435,-0.31306416593083464,-0.49042351921764704,-0.45689250002657256,0.15392605090643666,0.0695864701238361,0.7214009949307987,0.5358257619463953,-0.6846144748905864,-0.41399049461095133,-0.41232734272569116,0.45837373596345,0.1367435024653524,,-0.4139904946109535,-0.41232734272569,0.45837373596344966
energy_per_stroke,-0.3781129094337122,0.523903963999287,0.3819993150969496,0.08418576535818982,-0.3673696332059787,0.18966643180502654,-0.35631959547540204,0.22122059961625506,-0.40249812976086774,1.0,-0.32660678848906394,0.06569205729796106,0.7931945997941228,0.8604836702865096,0.14986038736037477,0.10844759961909363,-0.3920136583085434,-0.014621247937899618,0.5057162332401625,0.999642806213849,0.8767903352202212,-0.13333963221661232,-0.2950697606108668,,0.9996428062138476,0.876790335220222,-0.1333396322166086
