id,workout_interval_id,ref,stroke_number,power,avg_power,stroke_rate,time,stroke_length,distance,distance_per_stroke,estimated_500m_time,energy_per_stroke,energy_sum,pulse,work_per_pulse,peak_force,peak_force_pos,rel_peak_force_pos,drive_time,recover_time,k,curve_data,stroke_number_in_interval,avg_calculated_power
,8944875,95952,1,0,61.39,46.54,1.29,147.4,3.61,360.77,0,963.02,0.96,133,337.01,620.7,55,37.31,1.29,0,1,"2,174,305,340,355,371,390,406,427,443,469,492,514,530,548,559,572,579,593,602,609,609,614,615,621,617,619,611,601,580,566,545,527,503,483,460,442,420,406,392,376,358,346,330,319,306,297,288,278,274,260,245,232,209,191,168,144,118,90,68,49,10,2,14,14,7,5",1,0
,8944875,95953,2,205.66,129.34,33.58,3.09,143,11.09,748.31,119.39,788.68,1.75,133,470.48,490.77,59.4,41.54,0.76,1.03,0.95,"49,45,90,159,232,284,324,343,363,376,397,412,431,447,454,456,458,449,453,450,455,461,470,476,483,486,491,490,488,486,482,470,462,446,433,415,401,385,371,363,350,344,330,319,312,297,291,279,268,253,244,229,210,201,182,163,139,111,80,54,32,10,5,12,1",2,102.83
,8944875,95954,3,318.68,183.29,36.87,4.71,132,18.98,788.74,103.17,696.42,2.45,136,492.94,465.15,57.2,43.33,0.62,1,0.94,"71,56,107,186,258,314,337,349,369,374,393,404,421,432,448,458,461,458,456,450,448,441,450,453,462,465,462,453,444,434,421,408,399,381,376,367,354,337,332,314,304,295,279,267,253,236,223,202,187,163,144,128,107,77,52,39,9,1,7,4",3,174.78
,8944875,95955,4,381.06,231.2,37.66,6.24,129.8,27.17,819.42,97.21,747.2,3.2,138,561.09,515.33,37.4,28.81,0.58,1.01,0.94,"80,79,141,238,313,362,391,408,420,426,437,446,461,481,496,511,515,511,510,500,504,500,510,508,513,503,497,489,482,464,456,439,421,408,392,381,363,354,342,323,307,290,276,256,241,223,208,196,184,162,140,118,96,58,36,30,20,5,8",4,226.35
,8944875,95956,5,420.79,243.31,36.13,8.13,132,36,882.88,94.04,706.96,3.9,141,517.91,484.48,61.6,46.67,0.58,1.08,0.94,"87,51,93,152,213,242,280,305,321,338,355,374,389,403,419,427,442,452,461,465,470,471,475,467,476,477,481,484,477,467,453,444,428,418,408,385,376,361,345,332,319,299,291,270,256,244,228,203,184,178,156,149,137,114,101,75,55,30,14,4",5,265.238
,8944875,95957,6,438.44,290.94,36.84,9.52,132,44.78,877.87,92.77,748.99,4.65,144,547.11,491.89,46.2,35,0.57,1.06,0.94,"89,62,126,192,243,307,344,363,391,403,417,431,439,441,456,463,477,481,491,490,492,486,479,480,478,484,482,474,477,456,456,446,435,421,409,401,382,378,362,348,334,316,305,283,274,255,236,219,206,189,179,163,145,121,97,73,46,25,15,2",6,294.105
,8944875,95958,7,463.96,314.54,37.54,11.1,134.2,53.56,877.89,91.03,761.17,5.41,146,548.68,518.52,44,32.79,0.57,1.03,0.94,"93,51,103,162,229,283,330,361,378,399,411,430,440,456,470,486,494,511,511,519,518,506,508,500,495,502,491,488,478,468,461,450,439,427,415,405,385,375,364,346,338,326,303,291,275,254,238,220,207,193,186,172,147,136,111,86,61,25,29,10,4",7,318.37
,8944875,95959,8,487.52,334.14,39.86,12.59,129.8,61.96,840.6,89.54,754.01,6.17,149,559.61,524.02,41.8,32.2,0.54,0.96,0.94,"96,77,128,187,247,291,331,368,389,408,425,433,449,462,485,494,509,522,524,523,522,508,506,507,495,488,488,475,477,469,461,449,440,427,410,389,385,373,358,346,323,306,293,276,259,241,231,213,202,191,173,150,124,94,75,49,16,34,5",8,339.51375
,8944875,95960,9,500.75,349.18,39.51,14.11,129.8,70.52,855.5,88.75,736.44,6.9,152,538.73,519.29,46.2,35.59,0.54,0.98,0.94,"98,69,129,195,254,311,341,367,375,392,406,416,434,439,458,467,484,496,508,512,519,508,503,503,500,493,496,486,478,467,451,439,422,405,395,373,361,353,341,332,315,298,285,271,254,240,222,207,196,174,163,140,121,91,57,46,27,1,9",9,357.42888888889
,8944875,95961,10,506.2,360.97,39.87,15.64,129.8,79.03,850.89,88.43,751.65,7.65,155,541.6,538.5,44,33.9,0.54,0.97,0.94,"99,77,121,191,248,301,336,356,377,394,406,421,439,456,475,498,510,523,531,538,531,523,521,519,510,510,496,492,474,473,461,445,435,421,410,392,381,369,349,337,312,299,282,268,246,231,213,209,202,183,172,149,123,92,73,54,31,1,23",10,372.306
