,stroke_number,power,avg_power,stroke_rate,time,stroke_length,distance,distance_per_stroke,estimated_500m_time,energy_per_stroke,energy_sum,pulse,work_per_pulse,peak_force,peak_force_pos,rel_peak_force_pos,drive_time,recover_time,avg_calculated_power,curve_area,curve_std,time_to_peak,datestamp,workout_type,curve_area_zscore,curve_std_zscore,time_to_peak_zscore
stroke_number,1.0,-0.35883044020746896,-0.06124545720639489,-0.4336312531288952,0.9935440559838103,0.2624743449800629,0.9976937750819284,0.4282210994781851,0.20822183044923992,-0.1178319554036045,0.9959742885865681,0.55410298667846,-0.5717339645127071,-0.025526993471874863,-0.0904590692646775,-0.1677618618135685,0.35086634674364103,0.43533063283014467,-0.2832674672972182,-0.12641673254998106,-0.005722759205133306,0.08764578597551627,0.044186861908409876,,-0.12641673254998326,-0.0057227592051335135,0.08764578597551664
power,-0.35883044020746896,1.0,0.7898372699888931,0.8983009351599909,-0.39047883541679085,-0.4536343140195134,-0.37046443341787294,-0.6198022322196087,-0.7804203694371856,0.5521629797815885,-0.3383798524402602,0.1816414720406422,0.7658517425916127,0.5261197860058311,-0.003972782738317987,0.12539546995912632,-0.9382800522780151,-0.8160244750568967,0.6512129837833405,0.5695323626152319,0.3877142527173418,-0.5041254911728986,0.027056220752271903,,0.5695323626152324,0.3877142527173401,-0.5041254911729008
avg_power,-0.06124545720639489,0.7898372699888931,1.0,0.6753550033869634,-0.11998730281176993,-0.3009040717334683,-0.0847733269809721,-0.4372571121168238,-0.6329444195549576,0.4480688411715296,-0.0467493551513931,0.3914718286488507,0.4700351406681187,0.4243200458726365,-0.07543021202528301,0.008552701203138544,-0.7426615764621578,-0.6152613628243698,0.6256322581630862,0.46005328624055253,0.30507630290210286,-0.4757134386502282,-0.12856650640736125,,0.4600532862405555,0.3050763029021009,-0.47571343865022836
stroke_rate,-0.4336312531288952,0.8983009351599909,0.6753550033869634,1.0,-0.4735316647236535,-0.612039649146966,-0.45374925144030603,-0.8819947158170742,-0.6006074080472517,0.29396598616368247,-0.42854655089268867,0.045044437270740756,0.6934107800147129,0.30544824641486784,-0.09745922851062315,0.07376165990487568,-0.8995214692880745,-0.9609316529153429,0.5826624680491506,0.31429972009272944,0.16838015524467564,-0.5285498660402325,-0.07907195993888634,,0.31429972009273127,0.16838015524467528,-0.5285498660402349
time,0.9935440559838103,-0.39047883541679085,-0.11998730281176993,-0.4735316647236535,1.0,0.2963477799799312,0.9981930316802451,0.4728578805333947,0.23345091273517266,-0.10787693594008052,0.9945402814326268,0.5330510595580699,-0.5791615788109162,-0.020231745238860427,-0.05711167709019987,-0.1428391976095504,0.3910006948600804,0.4825171630979217,-0.2963197575568879,-0.1173950180705348,0.004232905716234509,0.13558973376542227,0.09512886171045007,,-0.11739501807053704,0.004232905716234443,0.1355897337654219
stroke_length,0.2624743449800629,-0.4536343140195134,-0.3009040717334683,-0.612039649146966,0.2963477799799312,1.0,0.28920095718148014,0.5900874887718138,0.3369022290093802,0.24313558242383917,0.28824559457599286,0.10429212899217127,-0.3274735800865646,-0.006860704884956144,0.2928286568592557,0.02218685673987956,0.6608460580885314,0.5578642121389532,-0.340424304994638,0.21468924789113897,0.041880473222816954,0.4561952011526112,0.2319034352221545,,0.21468924789113808,0.041880473222818425,0.4561952011526105
distance,0.9976937750819284,-0.37046443341787294,-0.0847733269809721,-0.45374925144030603,0.9981930316802451,0.28920095718148014,1.0,0.45487409652320027,0.21743797017445013,-0.09877547092339113,0.9982909693512307,0.5429940432376418,-0.5675797511004896,-0.012218725870981398,-0.06425698787642563,-0.14809476319325263,0.37034024654429165,0.46025252250661397,-0.2931468245221368,-0.10802521512826088,0.009223968291530176,0.1174480791075954,0.07750039781904088,,-0.10802521512826288,0.009223968291530032,0.11744807910759529
distance_per_stroke,0.4282210994781851,-0.6198022322196087,-0.4372571121168238,-0.8819947158170742,0.4728578805333947,0.5900874887718138,0.45487409652320027,1.0,0.3066102376314436,-0.009671683893615389,0.441611938728013,0.08396063020303164,-0.48813691388410235,-0.027526262463843463,0.1869153166986426,0.02576066262231614,0.6745057356097117,0.9395413364155137,-0.38982611417452634,-0.027350862863502638,0.08438813752872598,0.46996845790047304,0.16173672625051988,,-0.02735086286350458,0.08438813752872706,0.46996845790047254
estimated_500m_time,0.20822183044923992,-0.7804203694371856,-0.6329444195549576,-0.6006074080472517,0.23345091273517266,0.3369022290093802,0.21743797017445013,0.3066102376314436,1.0,-0.4163906768956142,0.19285299851067497,-0.21421734837532558,-0.540698831667511,-0.41369591242680526,0.001410814700849391,-0.09459709050259914,0.7637786163985704,0.5347263184308216,-0.5078929555593594,-0.4293284517382082,-0.30318855063091815,0.41507416491506344,0.021568454000902366,,-0.4293284517382091,-0.3031885506309181,0.4150741649150657
energy_per_stroke,-0.1178319554036045,0.5521629797815885,0.4480688411715296,0.29396598616368247,-0.10787693594008052,0.24313558242383917,-0.09877547092339113,-0.009671683893615389,-0.4163906768956142,1.0,-0.06847108998267278,0.21098074129548572,0.6559232882921248,0.8892025519653001,0.34252616186369395,0.28697682063472124,-0.4198761293055921,-0.21417120498242742,0.3102358991838265,0.9995666622657854,0.8547013803572485,-0.021966837219027698,0.27209828746771186,,0.9995666622657845,0.8547013803572473,-0.021966837219032406
energy_sum,0.9959742885865681,-0.3383798524402602,-0.0467493551513931,-0.42854655089268867,0.9945402814326268,0.28824559457599286,0.9982909693512307,0.441611938728013,0.19285299851067497,-0.06847108998267278,1.0,0.5626515122224854,-0.5463173469976879,0.015278562510502674,-0.05543099515588969,-0.1384216621903267,0.3436678078899027,0.4384346037498953,-0.2726676797573003,-0.0774852227314765,0.031164023788808067,0.10832499946646486,0.07052935602085862,,-0.07748522273147856,0.031164023788807938,0.10832499946646469
pulse,0.55410298667846,0.1816414720406422,0.3914718286488507,0.045044437270740756,0.5330510595580699,0.10429212899217127,0.5429940432376418,0.08396063020303164,-0.21421734837532558,0.21098074129548572,0.5626515122224854,1.0,-0.3593559720635807,0.2638526331860204,-0.1536629035121784,-0.18854243219992253,-0.15403053801340125,-0.018009066931018006,0.1846161558615556,0.20937085663620894,0.19554895534621994,-0.2551567670960193,-0.07451171180191764,,0.20937085663620816,0.19554895534621958,-0.2551567670960196
work_per_pulse,-0.5717339645127071,0.7658517425916127,0.4700351406681187,0.6934107800147129,-0.5791615788109162,-0.3274735800865646,-0.5675797511004896,-0.48813691388410235,-0.540698831667511,0.6559232882921248,-0.5463173469976879,-0.3593559720635807,1.0,0.6018904973686655,0.2047687548786386,0.30552449283347083,-0.7306233423429547,-0.6241096291473434,0.4357917948041976,0.6702014449041337,0.541307389495591,-0.21730322499866953,0.15266603364590764,,0.6702014449041347,0.5413073894955913,-0.21730322499867266
peak_force,-0.025526993471874863,0.5261197860058311,0.4243200458726365,0.30544824641486784,-0.020231745238860427,-0.006860704884956144,-0.012218725870981398,-0.027526262463843463,-0.41369591242680526,0.8892025519653001,0.015278562510502674,0.2638526331860204,0.6018904973686655,1.0,0.2502530803753021,0.261199801419559,-0.48523513350553643,-0.20619629499134753,0.2912056355942072,0.8956597714929047,0.9619768126207809,-0.08707953496437587,0.2180815203996423,,0.8956597714929068,0.9619768126207778,-0.08707953496437912
